marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable
KFC,Twister XL TradicionalTortilla de maíz + 2 tenders 100% pechuga de Pollo + lechuga + tomate + queso americano + mayonesa,Twister XL Tradicional,KFC_TWISTER_XL_TRADICIONAL,Twister XL,Tradicional,,unidad,21.9,Twister XL,https://www.kfc.com.pe/carta/twister-xl,21.9,CMP_TWISTER_XL_TRADICIONAL
KFC,Twister XL AmericanoTortilla de maíz + 2 tenders 100% pechuga de Pollo + lechuga + tocino + queso americano + salsa meltz,Twister XL Americano,KFC_TWISTER_XL_AMERICANO,Twister XL,Americano,,unidad,22.9,Twister XL,https://www.kfc.com.pe/carta/twister-xl,22.9,CMP_TWISTER_XL_AMERICANO
KFC,Twister XL Peruano1 Twister XL Peruano con Ají de la Casa + Crujientes Papitas al hilo,Twister XL Peruano,KFC_TWISTER_XL_PERUANO,Twister XL,Peruano,,unidad,21.9,Twister XL,https://www.kfc.com.pe/carta/twister-xl,21.9,CMP_TWISTER_XL_PERUANO
KFC,"Aji de la Casa FamiliarSalsa picante hecha con ají amarillo, cebolla y otras especias (99 Gr aprox)",Salsa Aji Casa Familiar,KFC_SALSA_AJI_CASA_FAMILIAR,Salsa,AJI_CASA,Familiar,porcion,3.9,Salsas,https://www.kfc.com.pe/carta/salsas,3.9,CMP_SALSA_AJI_CASA_FAMILIAR
KFC,"Tártara Peruana FamiliarSalsa a base de mayonesa mezclada cebolla china y BBQ, con un toque ahumado y cremoso (99 Gr aprox)",Salsa Tartara Peruana Familiar,KFC_SALSA_TARTARA_PERUANA_FAMILIAR,Salsa,TARTARA_PERUANA,Familiar,porcion,3.9,Salsas,https://www.kfc.com.pe/carta/salsas,3.9,CMP_SALSA_TARTARA_PERUANA_FAMILIAR
KFC,BBQ FamiliarSalsa Barbecue. Dulce con un toque ahumado (99 Gr aprox),Salsa Bbq Familiar,KFC_SALSA_BBQ_FAMILIAR,Salsa,BBQ,Familiar,porcion,3.9,Salsas,https://www.kfc.com.pe/carta/salsas,3.9,CMP_SALSA_BBQ_FAMILIAR
KFC,Salsa Secreta Familiar1 Salsa Familiar de Salsa Secreta,Salsa Salsa Secreta Familiar,KFC_SALSA_SALSA_SECRETA_FAMILIAR,Salsa,SALSA_SECRETA,Familiar,porcion,3.9,Salsas,https://www.kfc.com.pe/carta/salsas,3.9,CMP_SALSA_SALSA_SECRETA_FAMILIAR
KFC,Honey Mustard FamiliarSalsa dulce a base de mostaza y mayonesa (99 Gr aprox),Salsa Honey Mustard Familiar,KFC_SALSA_HONEY_MUSTARD_FAMILIAR,Salsa,HONEY_MUSTARD,Familiar,porcion,3.9,Salsas,https://www.kfc.com.pe/carta/salsas,3.9,CMP_SALSA_HONEY_MUSTARD_FAMILIAR
KFC,"Krunchy AmericanoJugoso filete de pierna con empanizado crispy, acompañado con crujiente tocino + queso americano + lechuga + salsa meltz",Krunchy Americano Solo,KFC_KRUNCHY_AMERICANO_SOLO,Sandwich,Americano_SOLO,,unidad,12.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,12.9,CMP_KRUNCHY_AMERICANO_SOLO
KFC,Combo Krunchy Americano1 Krunchy Americano + 1 Complemento Regular + 1 Bebida Personal-20%,Krunchy Americano Combo,KFC_KRUNCHY_AMERICANO_COMBO,Sandwich,Americano_COMBO,,unidad,18.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,18.9,CMP_KRUNCHY_AMERICANO_COMBO
KFC,Combo Krunchy BBQ1 Krunchy BQQ + 1 Complemento Regular + 1 Bebida Personal,Krunchy BBQ Combo,KFC_KRUNCHY_BBQ_COMBO,Sandwich,BBQ_COMBO,,unidad,17.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,17.9,CMP_KRUNCHY_BBQ_COMBO
KFC,"Krunchy BBQJugoso filete de pierna con empanizado crispy, acompañado con lechuga + salsa BBQ.",Krunchy BBQ Solo,KFC_KRUNCHY_BBQ_SOLO,Sandwich,BBQ_SOLO,,unidad,11.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,11.9,CMP_KRUNCHY_BBQ_SOLO
KFC,Combo Krunchy Meltz1 Krunchy Meltz + 1 Complemento Regular + 1 Bebida Personal,Krunchy Meltz Combo,KFC_KRUNCHY_MELTZ_COMBO,Sandwich,Meltz_COMBO,,unidad,16.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,16.9,CMP_KRUNCHY_MELTZ_COMBO
KFC,Big Box Krunchy Meltz1 Krunchy Meltz + 3 Nuggets o Hot Wings + 1 Complemento Regular + 1 Ensalada o Puré Regular + 1 Bebida Personal-36%,Krunchy Meltz Combo,KFC_KRUNCHY_MELTZ_COMBO,Sandwich,Meltz_COMBO,,unidad,22.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,22.9,CMP_KRUNCHY_MELTZ_COMBO
KFC,"Krunchy MeltzJugoso filete de pierna con empanizado crispy, acompañado con lechuga y salsa agridulce meltz",Krunchy Meltz Solo,KFC_KRUNCHY_MELTZ_SOLO,Sandwich,Meltz_SOLO,,unidad,10.9,Sandwiches,https://www.kfc.com.pe/carta/sandwiches,10.9,CMP_KRUNCHY_MELTZ_SOLO
KFC,Paquete 6 Nuggets6 Deliciosos Nuggets de Pollo 100% de Pechuga de Pollo empanizados en nuestra Receta Original,Nuggets Unitario,KFC_NUGGETS,Nuggets,Unitario,,unidad,2.82,Complementos,https://www.kfc.com.pe/carta/complementos,16.9,CMP_NUGGETS
KFC,Paquete 6 Hot Wings6 deliciosas alitas de Pollo picante,Hot Wings Unitario,KFC_HOT_WINGS,Hot Wings,Unitario,,unidad,2.98,Complementos,https://www.kfc.com.pe/carta/complementos,17.9,CMP_HOT_WINGS
KFC,Paquete 6 Tenders6 crujientes tenders elaborados con 100% pechuga de Pollo + empanizados en nuestra Receta Crispy,Tenders Unitario,KFC_TENDERS,Tenders,Unitario,,unidad,5.65,Complementos,https://www.kfc.com.pe/carta/complementos,33.9,CMP_TENDERS
KFC,"PopCorn ChickenJugosos y crocantes trozitos de filete de pierna, empanizados en nuestra Receta Crispy",PopCorn Chicken Popcorn,KFC_POPCORN_CHICKEN,PopCorn Chicken,Popcorn,,unidad,15.9,Complementos,https://www.kfc.com.pe/carta/complementos,15.9,CMP_POPCORN_CHICKEN
KFC,Papa Super FamiliarTradicionales papas fritas (450 gr aprox),Papas Cajun Super Familiar,KFC_PAPAS_SUPER_FAMILIAR,Papas,Cajun,Super Familiar,porcion,15.9,Complementos,https://www.kfc.com.pe/carta/complementos,15.9,CMP_PAPAS_SUPER_FAMILIAR
KFC,Papa FamiliarTradicionales papas fritas (240 gr aprox),Papas Cajun Familiar,KFC_PAPAS_FAMILIAR,Papas,Cajun,Familiar,porcion,11.9,Complementos,https://www.kfc.com.pe/carta/complementos,11.9,CMP_PAPAS_FAMILIAR
KFC,Papa PersonalTradicionales papas fritas (116 gr aprox),Papas Cajun Personal,KFC_PAPAS_PERSONAL,Papas,Cajun,Personal,porcion,6.9,Complementos,https://www.kfc.com.pe/carta/complementos,6.9,CMP_PAPAS_PERSONAL
KFC,Ensalada FamiliarNuestra tradicional ensalada de col con zanahoria y aderezo agridulce (16 Oz. aprox),Ensalada Col Familiar,KFC_ENSALADA_FAMILIAR,Ensalada,Col,Familiar,porcion,11.0,Complementos,https://www.kfc.com.pe/carta/complementos,11.0,CMP_ENSALADA_FAMILIAR
KFC,Ensalada RegularNuestra tradicional ensalada de col con zanahoria y aderezo agridulce (4 Oz. aprox.),Ensalada Col Regular,KFC_ENSALADA_REGULAR,Ensalada,Col,Regular,porcion,5.9,Complementos,https://www.kfc.com.pe/carta/complementos,5.9,CMP_ENSALADA_REGULAR
KFC,Piezas de Pollo (2 un)2 Piezas de Pollo en receta Original o Crispy.,Pieza de Pollo Unitaria,KFC_PIEZA_POLLO,Pollo,Pieza Unitaria,,unidad,15.9,Complementos,https://www.kfc.com.pe/carta/complementos,15.9,CMP_PIEZA_POLLO
KFC,Puré FamiliarNuestro tradicional puré de papas con salsa gravy en presentación Familiar,Papas Cajun Familiar,KFC_PAPAS_FAMILIAR,Papas,Cajun,Familiar,porcion,11.0,Complementos,https://www.kfc.com.pe/carta/complementos,11.0,CMP_PAPAS_FAMILIAR
KFC,Tres Leches de VainillaTres Leches de Vainilla Personal,Tres Leches,KFC_POSTRE_TRES_LECHES,Postre,TRES_LECHES,,unidad,6.9,Postres,https://www.kfc.com.pe/carta/postres,6.9,CMP_POSTRE_TRES_LECHES
