marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,categoria_fuente,sku_comparable
KFC,Twister XL TradicionalTortilla de maíz + 2 tenders 100% pechuga de Pollo + lechuga + tomate + queso americano + mayonesa,Twister XL Tradicional,KFC_TWISTER_XL_TRADICIONAL,Twister XL,Tradicional,,unidad,Twister XL,CMP_TWISTER_XL_TRADICIONAL
KFC,Twister XL AmericanoTortilla de maíz + 2 tenders 100% pechuga de Pollo + lechuga + tocino + queso americano + salsa meltz,Twister XL Americano,KFC_TWISTER_XL_AMERICANO,Twister XL,Americano,,unidad,Twister XL,CMP_TWISTER_XL_AMERICANO
KFC,Twister XL Peruano1 Twister XL Peruano con Ají de la Casa + Crujientes Papitas al hilo,Twister XL Peruano,KFC_TWISTER_XL_PERUANO,Twister XL,Peruano,,unidad,Twister XL,CMP_TWISTER_XL_PERUANO
KFC,"Aji de la Casa FamiliarSalsa picante hecha con ají amarillo, cebolla y otras especias (99 Gr aprox)",Salsa Aji Casa Familiar,KFC_SALSA_AJI_CASA_FAMILIAR,Salsa,AJI_CASA,Familiar,porcion,Salsas,CMP_SALSA_AJI_CASA_FAMILIAR
KFC,"Tártara Peruana FamiliarSalsa a base de mayonesa mezclada cebolla china y BBQ, con un toque ahumado y cremoso (99 Gr aprox)",Salsa Tartara Peruana Familiar,KFC_SALSA_TARTARA_PERUANA_FAMILIAR,Salsa,TARTARA_PERUANA,Familiar,porcion,Salsas,CMP_SALSA_TARTARA_PERUANA_FAMILIAR
KFC,BBQ FamiliarSalsa Barbecue. Dulce con un toque ahumado (99 Gr aprox),Salsa Bbq Familiar,KFC_SALSA_BBQ_FAMILIAR,Salsa,BBQ,Familiar,porcion,Salsas,CMP_SALSA_BBQ_FAMILIAR
KFC,Salsa Secreta Familiar1 Salsa Familiar de Salsa Secreta,Salsa Salsa Secreta Familiar,KFC_SALSA_SALSA_SECRETA_FAMILIAR,Salsa,SALSA_SECRETA,Familiar,porcion,Salsas,CMP_SALSA_SALSA_SECRETA_FAMILIAR
KFC,Honey Mustard FamiliarSalsa dulce a base de mostaza y mayonesa (99 Gr aprox),Salsa Honey Mustard Familiar,KFC_SALSA_HONEY_MUSTARD_FAMILIAR,Salsa,HONEY_MUSTARD,Familiar,porcion,Salsas,CMP_SALSA_HONEY_MUSTARD_FAMILIAR
KFC,"Krunchy AmericanoJugoso filete de pierna con empanizado crispy, acompañado con crujiente tocino + queso americano + lechuga + salsa meltz",Krunchy Americano Solo,KFC_KRUNCHY_AMERICANO_SOLO,Sandwich,Americano_SOLO,,unidad,Sandwiches,CMP_KRUNCHY_AMERICANO_SOLO
KFC,Combo Krunchy Americano1 Krunchy Americano + 1 Complemento Regular + 1 Bebida Personal-20%,Krunchy Americano Combo,KFC_KRUNCHY_AMERICANO_COMBO,Sandwich,Americano_COMBO,,unidad,Sandwiches,CMP_KRUNCHY_AMERICANO_COMBO
KFC,Combo Krunchy BBQ1 Krunchy BQQ + 1 Complemento Regular + 1 Bebida Personal,Krunchy BBQ Combo,KFC_KRUNCHY_BBQ_COMBO,Sandwich,BBQ_COMBO,,unidad,Sandwiches,CMP_KRUNCHY_BBQ_COMBO
KFC,"Krunchy BBQJugoso filete de pierna con empanizado crispy, acompañado con lechuga + salsa BBQ.",Krunchy BBQ Solo,KFC_KRUNCHY_BBQ_SOLO,Sandwich,BBQ_SOLO,,unidad,Sandwiches,CMP_KRUNCHY_BBQ_SOLO
KFC,Combo Krunchy Meltz1 Krunchy Meltz + 1 Complemento Regular + 1 Bebida Personal,Krunchy Meltz Combo,KFC_KRUNCHY_MELTZ_COMBO,Sandwich,Meltz_COMBO,,unidad,Sandwiches,CMP_KRUNCHY_MELTZ_COMBO
KFC,"Krunchy MeltzJugoso filete de pierna con empanizado crispy, acompañado con lechuga y salsa agridulce meltz",Krunchy Meltz Solo,KFC_KRUNCHY_MELTZ_SOLO,Sandwich,Meltz_SOLO,,unidad,Sandwiches,CMP_KRUNCHY_MELTZ_SOLO
KFC,Paquete 6 Nuggets6 Deliciosos Nuggets de Pollo 100% de Pechuga de Pollo empanizados en nuestra Receta Original,Nuggets Unitario,KFC_NUGGETS,Nuggets,Unitario,,unidad,Complementos,CMP_NUGGETS
KFC,Paquete 6 Hot Wings6 deliciosas alitas de Pollo picante,Hot Wings Unitario,KFC_HOT_WINGS,Hot Wings,Unitario,,unidad,Complementos,CMP_HOT_WINGS
KFC,Paquete 6 Tenders6 crujientes tenders elaborados con 100% pechuga de Pollo + empanizados en nuestra Receta Crispy,Tenders Unitario,KFC_TENDERS,Tenders,Unitario,,unidad,Complementos,CMP_TENDERS
KFC,"PopCorn ChickenJugosos y crocantes trozitos de filete de pierna, empanizados en nuestra Receta Crispy",PopCorn Chicken Popcorn,KFC_POPCORN_CHICKEN,PopCorn Chicken,Popcorn,,unidad,Complementos,CMP_POPCORN_CHICKEN
KFC,Papa Super FamiliarTradicionales papas fritas (450 gr aprox),Papas Cajun Super Familiar,KFC_PAPAS_SUPER_FAMILIAR,Papas,Cajun,Super Familiar,porcion,Complementos,CMP_PAPAS_SUPER_FAMILIAR
KFC,Papa FamiliarTradicionales papas fritas (240 gr aprox),Papas Cajun Familiar,KFC_PAPAS_FAMILIAR,Papas,Cajun,Familiar,porcion,Complementos,CMP_PAPAS_FAMILIAR
KFC,Papa PersonalTradicionales papas fritas (116 gr aprox),Papas Cajun Personal,KFC_PAPAS_PERSONAL,Papas,Cajun,Personal,porcion,Complementos,CMP_PAPAS_PERSONAL
KFC,Ensalada FamiliarNuestra tradicional ensalada de col con zanahoria y aderezo agridulce (16 Oz. aprox),Ensalada Col Familiar,KFC_ENSALADA_FAMILIAR,Ensalada,Col,Familiar,porcion,Complementos,CMP_ENSALADA_FAMILIAR
KFC,Ensalada RegularNuestra tradicional ensalada de col con zanahoria y aderezo agridulce (4 Oz. aprox.),Ensalada Col Regular,KFC_ENSALADA_REGULAR,Ensalada,Col,Regular,porcion,Complementos,CMP_ENSALADA_REGULAR
KFC,Piezas de Pollo (2 un)2 Piezas de Pollo en receta Original o Crispy.,Pieza de Pollo Unitaria,KFC_PIEZA_POLLO,Pollo,Pieza Unitaria,,unidad,Complementos,CMP_PIEZA_POLLO
